telescopeId;name;type;location;apertureDiameter;constructionDate;operatingAgency;altitude
"TEL001";"Hubble Space Telescope";"Space";"Low Earth Orbit";"2.4";"24/04/1990";"NASA/ESA";"547"
"TEL002";"James Webb Space Telescope";"Space";"L2 Lagrange Point";"6.5";"25/12/2021";"NASA/ESA/CSA";"1500000"
"TEL003";"Very Large Telescope";"Ground-based Optical";"Cerro Paranal, Chile";"8.2";"01/04/1998";"ESO";"2635"
"TEL004";"Keck Observatory";"Ground-based Optical";"Mauna Kea, Hawaii";"10.0";"24/11/1993";"Caltech/UC";"4145"
"TEL005";"Atacama Large Millimeter Array";"Radio";"Atacama Desert, Chile";"12.0";"13/03/2013";"ESO/NRAO/NAOJ";"5000"
"TEL006";"Subaru Telescope";"Ground-based Optical";"Mauna Kea, Hawaii";"8.2";"28/01/1999";"NAOJ";"4163"
"TEL007";"Gemini North";"Ground-based Optical";"Mauna Kea, Hawaii";"8.1";"25/06/1999";"NSF/AURA";"4213"
"TEL008";"Gemini South";"Ground-based Optical";"Cerro Pachon, Chile";"8.1";"15/01/2000";"NSF/AURA";"2722"
"TEL009";"Spitzer Space Telescope";"Space";"Earth-trailing Orbit";"0.85";"25/08/2003";"NASA";"0"
"TEL010";"Chandra X-ray Observatory";"Space";"Elliptical Earth Orbit";"1.2";"23/07/1999";"NASA";"133000"
"TEL011";"European Extremely Large Telescope";"Ground-based Optical";"Cerro Armazones, Chile";"39.0";"01/05/2027";"ESO";"3046"
"TEL012";"Gran Telescopio Canarias";"Ground-based Optical";"La Palma, Spain";"10.4";"13/07/2007";"IAC";"2267"
"TEL013";"Southern African Large Telescope";"Ground-based Optical";"Sutherland, South Africa";"11.1";"10/11/2005";"SAAO";"1798"
"TEL014";"Thirty Meter Telescope";"Ground-based Optical";"Mauna Kea, Hawaii";"30.0";"01/01/2030";"TMT International";"4050"
"TEL015";"Arecibo Observatory";"Radio";"Arecibo, Puerto Rico";"305.0";"01/11/1963";"NSF/UCF";"497"
